this results is from directly UEL sig variable
 KINC-----TIME(1)-JELEM-KINTK----Sig11------Sig22-------Sig33-------Sig12
  1      0.00000000  1  1  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      0.00000000  1  2  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      0.00000000  1  3  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      0.00000000  1  4  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      1.00000000  1  1  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      1.00000000  1  2  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      1.00000000  1  3  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      1.00000000  1  4  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1      1.00000000  1  1  0.21401E+08  0.46715E+07  0.00000E+00  0.91886E+06
  1      1.00000000  1  2  0.19826E+08 -0.57908E+06  0.00000E+00  0.91886E+06
  1      1.00000000  1  3  0.21401E+08  0.46715E+07  0.00000E+00 -0.91886E+06
  1      1.00000000  1  4  0.19826E+08 -0.57908E+06  0.00000E+00 -0.91886E+06
